,real,predict
1,,7.216433788903096
2,,3.629081720091044
3,,0.5149391889377668
4,,-0.9161357950164799
5,,1.7201231310942262
6,,10.228642236563665
7,,23.937217462163296
8,,39.337512520606815
9,,51.84531646399505
10,,58.512689510095385
11,,59.66584248637322
12,,58.26605416313495
13,,57.59704308346002
14,,59.11195574685131
15,,61.929921467881634
16,,63.98863803401736
17,,63.616823493894096
18,,60.297611348007486
19,,54.41263851598256
20,,46.66861942832406
21,,37.884995028463585
22,,29.096955349238613
23,,21.438151621860815
24,,15.589160422524138
25,,11.305645803799823
26,,7.746694675962498
27,,4.611512489412377
28,,3.1100231739979094
29,,5.627113921735056
30,,13.968881310565134
31,,27.46482917732651
32,,42.608848494252626
33,,54.819450587602475
34,,61.1518827820774
35,,61.935972176001485
36,,60.137002245974514
37,,59.04303937109411
38,,60.111871674534044
39,,62.46751108779749
40,,64.0527233977744
41,,63.2014222679622
42,,59.40200520027902
43,,53.04138151585676
44,,44.83148642183338
45,,35.59687066976297
46,,26.377665166354518
47,,18.31223720426157
48,,12.085601467080576
49,,7.457532387670124
50,,3.5908537252398105
51,,0.18809294157419743
52,,-1.5379551818033548
53,,0.7999853275106048
54,,9.009892609672765
55,,22.42262574872789
56,,37.53289181274361
57,,49.759472634015836
58,,56.15734046515063
59,,57.05550819586391
60,,55.41791872539228
61,,54.53079040797615
62,,55.849580706225794
63,,58.495518644721685
64,,60.408170422744035
65,,59.917873729071296
66,,56.5091182124965
67,,50.564621624765536
68,,42.79189510354223
69,,34.010886452503016
70,,25.257000129076886
71,,17.6638098999571
72,,11.911526640889797
73,,7.7551671543353855
74,,4.352899178211409
75,,1.4027494895152728
76,,0.1132188997799588
77,,2.8675445272591205
78,,11.469965619187672
79,,25.24794308994192
80,,40.6931627488305
81,,53.221793277067235
82,,59.8866277445669
83,,61.01495403428753
84,,59.5694585834524
85,,58.8355801961197
86,,60.26847600475773
87,,62.989550182290486
88,,64.93900984751635
89,,64.44828387531558
90,,61.00338228994569
91,,54.98894607405032
92,,47.114781220985506
93,,38.203466323642324
94,,29.293332893334608
95,,21.521134905534957
96,,15.570470621416096
97,,11.199903173243992
98,,7.57125572137738
99,,4.386268742083914
100,,2.8571639117642036
101,,5.37085563196726
102,,13.735167140854347
103,,27.281002003398314
104,,42.503301593426485
105,,54.821260206671
106,,61.29042713539343
107,,62.24054160282143
108,,60.63640538988769
109,,59.76521031984383
110,,61.08348300143793
111,,63.713597696683635
112,,65.59632194876139
113,,65.06323080039152
114,,61.6000673270959
115,,55.59079928623672
116,,47.744165608033164
117,,38.881301843075626
118,,30.03874351177624
119,,22.35112353505123
120,,16.499626427771403
121,,12.240145287640335
122,,8.731616914962789
123,,5.672722077009723
124,,4.272494807998164
125,,6.914581187360049
126,,15.403503900181853
127,,29.066882734147313
128,,44.396440964462805
129,,56.80826861495259
130,,63.354971274616666
131,,64.36354974812943
132,,62.79631476418837
133,,61.938253339375066
134,,63.244008672790045
135,,65.83442395464702
136,,67.64911430042784
137,,67.01890226874525
138,,63.42919439309789
139,,57.26404828702912
140,,49.232723888892146
141,,40.15730786952755
142,,31.075710140324787
143,,23.12434869553256
144,,16.986585601860323
145,,12.420860393912704
146,,8.588996470012347
147,,5.192867862289454
148,,3.4449706725934632
149,,5.732640092440647
150,,13.864269820271147
151,,27.171484601500172
152,,42.15009644641878
153,,54.22031613286327
154,,60.43884935703396
155,,61.13672345305132
156,,59.28014959546098
157,,58.15783776135055
158,,59.22792697542896
159,,61.614481879629196
160,,63.260020444527896
161,,62.49790886560616
162,,58.815701609832416
163,,52.5991766586578
164,,44.558859947172806
165,,35.51762838684684
166,,26.513690710534313
167,,18.68326263139904
168,,12.708999230773589
169,,8.34813096818101
170,,4.760778893703943
171,,1.6466363568140778
172,,0.21556136716971963
173,,2.8518202876324423
174,,11.360339387343796
175,,25.068914607419273
176,,40.46920966014915
177,,52.97701359777348
178,,59.64438663809135
179,,60.79753960897236
180,,59.397751279669414
181,,58.7287401944167
182,,60.24365285208472
183,,63.06161856722167
184,,65.12033512787896
185,,64.74852058199511
186,,61.42930843045227
187,,55.54433559276219
188,,47.80031649920235
189,,39.01669209367463
190,,30.228652408799952
191,,22.569848675477335
192,,16.72085747071303
193,,12.437342846151964
194,,8.878391712653531
195,,5.743209520365916
196,,4.241720199260506
197,,6.75881094135293
198,,15.100578324432039
199,,28.596526185658675
200,,43.74054549687283
201,,55.95114758445793
202,,62.283579773149555
203,,63.06766916158956
204,,61.26869922558365
205,,60.17473634514505
206,,61.24356864285829
207,,63.599208050454145
208,,65.18442035471654
209,,64.33311921913945
210,,60.53370214582229
211,,54.173078455515544
212,,45.96318335634779
213,,36.72856759803675
214,,27.509362088979607
215,,19.443934121223737
216,,13.21729837858011
217,,8.589229293109
218,,4.72255062501474
219,,1.3197898358857145
220,,-0.40625829346615205
221,,1.931682210208841
222,,10.141589486742287
223,,23.554322620142194
224,,38.66458867819525
225,,50.89116949395512
226,,57.28903731943011
227,,58.18720504426626
228,,56.54961556809131
229,,55.662487245018724
230,,56.98127753762598
231,,59.627215470181
232,,61.53986724276291
233,,61.049570543334696
234,,57.64081502099119
235,,51.696318427511926
236,,43.92359190081315
237,,35.14258324386552
238,,26.388696914655092
239,,18.795506680004866
240,,13.043223415235438
241,,8.886863922939344
242,,5.484595941073984
243,,2.5344462468961098
244,,1.2449156512132262
245,,3.9992412727575797
246,,12.60166235934668
247,,26.379639824445345
248,,41.82485947736352
249,,54.353487118836576
250,,61.01831869941162
251,,62.146642101984014
252,,60.701143764170084
253,,59.967262489606654
254,,61.40015541117076
255,,64.12122670134094
256,,66.07068347982997
257,,65.5799546202924
258,,62.13505014772127
259,,56.12061104464527
260,,48.24644330470271
261,,39.3351255200004
262,,30.42498920249794
263,,22.652788327717886
264,,16.702121156466344
265,,12.33155082112205
266,,8.702900482078476
267,,5.517910615894344
268,,3.9888028981745123
269,,6.502491731301639
270,,14.866800353129129
271,,28.412632328586945
272,,43.63492903120655
273,,55.95288475750063
274,,62.42204879914323
275,,63.37216037926415
276,,61.768021279195736
277,,60.89682332206414
278,,62.215093116588434
279,,64.84520492447065
280,,66.72792628966592
281,,66.19483225419508
282,,62.731665893611904
283,,56.72239496557236
284,,48.87575840022748
285,,40.01289174869925
286,,31.17033052966491
287,,23.482707665982687
288,,17.631207671310186
289,,13.371723644451883
290,,9.863192384403355
291,,6.804294659281993
292,,5.404064503148575
293,,8.046147995503382
294,,16.535067821197185
295,,30.19844376778716
296,,45.527999111238664
297,,57.93982387453373
298,,64.48652364698451
299,,65.49509923330949
300,,63.927861362476236
301,,63.06979705033149
302,,64.37554949668035
303,,66.96596189143746
304,,68.78064935007146
305,,68.15043443111708
306,,64.56072366836446
307,,58.39557467537891
308,,50.36424738982524
309,,41.2888284833634
310,,32.20722786708107
311,,24.255863535194962
312,,18.11809755414183
313,,13.552369459271588
314,,9.720502648424713
315,,6.324371153284972
316,,4.576471076466248
317,,6.864137609347267
318,,14.995764449480252
319,,28.302976343894308
320,,43.28158530192689
321,,55.35180210117657
322,,61.57033243813395
323,,62.268203646975095
324,,60.411626902513746
325,,59.28931218097351
326,,60.35939850805486
327,,62.74595052515603
328,,64.39148620290877
329,,63.62937173671773
330,,59.94716159381747
331,,53.728108642595316
332,,45.685263930543286
333,,36.64150436997152
334,,27.635038699308723
335,,19.802082625808907
336,,13.825291230529281
337,,9.46189497374607
338,,5.872014904806171
339,,2.755344373475637
340,,1.3217413894372072
341,,3.9554723156422895
342,,12.461463420936614
343,,26.16751064638086
344,,41.56527770497913
345,,54.07055364813811
346,,60.73539869397188
347,,61.886023670394174
348,,60.48370734692677
349,,59.81216826707255
350,,61.324552930254654
351,,64.13999065116143
352,,66.19617921740122
353,,65.82183667704737
354,,62.500096531326435
355,,56.61259569914752
356,,48.86604861092222
357,,40.079896211107695
358,,31.289328532235885
359,,23.627996804118776
360,,17.776477604949854
361,,13.490434985944514
362,,9.928955858105773
363,,6.791245671256775
364,,5.287228356008313
365,,7.801791103500882
366,,16.14103049224804
367,,29.63445035911623
368,,44.775941675919896
369,,56.984015768953114
